Time,Tag,Flow
1618788092.8311415,,"182303476, -0.02, -0.02, 24.78, 25.01
"
1618788092.8411753,,"182306548, -0.03, 0.00, 24.78, 25.01
"
1618788092.8411753,,"182309584, -0.07, -0.03, 24.78, 25.05
"
1618788092.8411753,,"182312652, -0.02, -0.02, 24.77, 25.05
"
1618788092.8511405,,"182315724, -0.03, 0.02, 24.77, 25.05
"
1618788092.8511405,,"182318788, -0.02, -0.02, 24.77, 25.07
"
1618788092.8511405,,"182321860, -0.02, 0.02, 24.77, 25.07
"
1618788092.8611405,,"182324924, -0.05, -0.03, 24.77, 25.05
"
1618788092.8611405,,"182327992, 0.02, 0.03, 24.77, 25.05
"
1618788092.8611405,,"182331048, 0.00, 0.03, 24.79, 25.05
"
1618788092.8611405,,"182334068, -0.03, 0.00, 24.79, 25.05
"
1618788092.8722157,,"182337100, -0.05, -0.03, 24.79, 25.05
"
1618788092.8722157,,"182340172, -0.03, 0.02, 24.74, 25.05
"
1618788092.8722157,,"182343236, -0.03, 0.02, 24.74, 25.01
"
1618788092.8822224,,"182346304, -0.02, -0.02, 24.74, 25.01
"
1618788092.8822224,,"182349372, -0.07, -0.03, 24.77, 25.06
"
1618788092.8822224,,"182352444, -0.02, 0.00, 24.77, 25.06
"
1618788092.8822224,,"182355480, 0.00, 0.00, 24.77, 25.06
"
1618788092.8922193,,"182358472, -0.03, -0.05, 24.77, 25.07
"
1618788092.8922193,,"182361544, -0.08, -0.02, 24.77, 25.07
"
1618788092.8922193,,"182364616, -0.03, 0.02, 24.77, 25.03
"
1618788092.9022207,,"182367680, -0.02, 0.03, 24.73, 25.03
"
1618788092.9022207,,"182370748, 0.02, 0.07, 24.73, 25.03
"
1618788092.9022207,,"182373804, -0.02, -0.02, 24.73, 25.04
"
1618788092.9122536,,"182376876, -0.07, 0.00, 24.75, 25.04
"
1618788092.9122536,,"182379912, -0.07, -0.03, 24.75, 25.04
"
1618788092.9122536,,"182382980, -0.03, 0.00, 24.75, 25.04
"
1618788092.9122536,,"182386016, -0.02, -0.03, 24.75, 25.04
"
1618788092.9222193,,"182389084, -0.05, 0.00, 24.75, 25.05
"
1618788092.9222193,,"182392116, 0.02, -0.03, 24.75, 25.05
"
1618788092.9222193,,"182395172, -0.02, -0.05, 24.76, 25.06
"
1618788092.9322197,,"182398244, -0.03, 0.02, 24.76, 25.06
"
1618788092.9322197,,"182401312, -0.03, 0.02, 24.76, 25.06
"
1618788092.9322197,,"182404376, 0.00, -0.03, 24.75, 25.07
"
1618788092.9412265,,"182407400, -0.02, -0.02, 24.75, 25.07
"
1618788092.9412265,,"182410456, -0.05, 0.00, 24.75, 25.07
"
1618788092.9412265,,"182413488, -0.07, -0.08, 24.78, 25.09
"
1618788092.9512308,,"182416556, -0.07, 0.02, 24.78, 25.09
"
1618788092.9512308,,"182419620, -0.03, 0.02, 24.78, 25.06
"
1618788092.9512308,,"182422684, 0.00, 0.00, 24.79, 25.06
"
1618788092.9612308,,"182425672, 0.00, -0.08, 24.79, 25.06
"
1618788092.9612308,,"182428696, -0.05, -0.07, 24.79, 25.05
"
1618788092.9612308,,"182431768, -0.03, -0.05, 24.77, 25.05
"
1618788092.9612308,,"182434836, -0.02, 0.00, 24.77, 25.03
"
1618788092.9712307,,"182437864, -0.02, 0.00, 24.77, 25.03
"
1618788092.9712307,,"182440900, -0.05, 0.02, 24.75, 25.03
"
1618788092.9712307,,"182443964, -0.03, 0.00, 24.75, 25.03
"
1618788092.9812334,,"182447000, -0.03, 0.00, 24.75, 25.03
"
1618788092.9812334,,"182450036, -0.03, 0.02, 24.81, 25.05
"
1618788092.9812334,,"182453104, -0.03, 0.02, 24.81, 25.05
"
1618788092.9912653,,"182456168, 0.02, 0.00, 24.81, 25.05
"
1618788092.9912653,,"182459192, -0.05, 0.00, 24.77, 25.06
"
1618788092.9912653,,"182462228, -0.07, -0.02, 24.77, 25.06
"
1618788092.9912653,,"182465296, 0.00, -0.02, 24.77, 25.04
"
1618788093.0012321,,"182468324, 0.00, 0.02, 24.77, 25.04
"
1618788093.0012321,,"182471344, -0.03, 0.02, 24.77, 25.04
"
1618788093.0012321,,"182474412, 0.00, 0.00, 24.77, 25.02
"
1618788093.0112717,,"182477404, -0.07, -0.02, 24.76, 25.02
"
1618788093.0112717,,"182480472, -0.03, -0.03, 24.76, 25.07
"
1618788093.0112717,,"182483544, -0.03, -0.02, 24.76, 25.07
"
1618788093.0212643,,"182486612, -0.07, 0.00, 24.79, 25.07
"
1618788093.0212643,,"182489644, 0.00, -0.02, 24.79, 25.05
"
1618788093.0212643,,"182492668, 0.02, -0.03, 24.79, 25.05
"
1618788093.0312674,,"182495724, -0.02, -0.07, 24.78, 25.05
"
1618788093.0312674,,"182498796, -0.03, 0.00, 24.78, 25.05
"
1618788093.0312674,,"182501828, -0.02, 0.00, 24.78, 25.05
"
1618788093.0312674,,"182504860, -0.07, 0.02, 24.77, 25.06
"
1618788093.0412402,,"182507928, 0.03, 0.00, 24.77, 25.06
"
1618788093.0412402,,"182510948, -0.02, 0.00, 24.77, 25.05
"
1618788093.0412402,,"182513984, -0.07, -0.02, 24.76, 25.05
"
1618788093.051232,,"182517052, -0.08, -0.03, 24.76, 25.05
"
1618788093.051232,,"182520124, 0.02, 0.02, 24.76, 25.04
"
1618788093.051232,,"182523176, 0.00, 0.00, 24.79, 25.04
"
1618788093.0612328,,"182526168, -0.03, -0.03, 24.79, 25.06
"
1618788093.0612328,,"182529232, -0.05, -0.05, 24.79, 25.06
"
1618788093.0612328,,"182532304, -0.08, -0.05, 24.77, 25.06
"
1618788093.0612328,,"182535384, -0.05, -0.05, 24.77, 25.08
"
1618788093.0712466,,"182538456, -0.05, -0.02, 24.77, 25.08
"
1618788093.0712466,,"182541532, -0.03, 0.00, 24.75, 25.04
"
1618788093.0712466,,"182544564, -0.05, 0.05, 24.75, 25.04
"
1618788093.081247,,"182547628, 0.00, 0.03, 24.75, 25.04
"
1618788093.081247,,"182550648, -0.03, -0.02, 24.78, 25.04
"
1618788093.081247,,"182553716, -0.03, -0.02, 24.78, 25.04
"
1618788093.0912333,,"182556788, -0.02, -0.03, 24.78, 25.04
"
1618788093.0912333,,"182559856, -0.03, -0.02, 24.79, 25.06
"
1618788093.0912333,,"182562924, -0.07, -0.02, 24.79, 25.06
"
1618788093.1012337,,"182565992, -0.02, 0.00, 24.79, 25.05
"
1618788093.1012337,,"182569028, -0.05, 0.02, 24.79, 25.05
"
1618788093.1012337,,"182572092, 0.00, 0.00, 24.79, 25.05
"
1618788093.1012337,,"182575072, -0.05, -0.02, 24.79, 25.06
"
1618788093.1112347,,"182578144, -0.07, 0.00, 24.78, 25.06
"
1618788093.1112347,,"182581176, -0.02, -0.03, 24.78, 25.06
"
1618788093.1112347,,"182584244, -0.05, -0.07, 24.78, 25.06
"
1618788093.1212332,,"182587316, -0.02, -0.02, 24.77, 25.06
"
1618788093.1212332,,"182590384, -0.03, 0.00, 24.77, 25.06
"
1618788093.1212332,,"182593424, -0.02, -0.03, 24.77, 25.06
"
1618788093.1312566,,"182596492, -0.02, 0.02, 24.76, 25.06
"
1618788093.1312566,,"182599556, -0.05, -0.02, 24.76, 25.04
"
1618788093.1312566,,"182602628, 0.00, 0.02, 24.76, 25.04
"
1618788093.1312566,,"182605648, -0.03, 0.00, 24.73, 25.04
"
1618788093.1412334,,"182608684, -0.08, -0.02, 24.73, 25.04
"
1618788093.1412334,,"182611756, 0.00, -0.02, 24.73, 25.04
"
1618788093.1412334,,"182614784, -0.02, -0.02, 24.77, 25.06
"
1618788093.1524026,,"182617852, -0.02, -0.02, 24.77, 25.06
"
1618788093.1524026,,"182620924, -0.02, 0.02, 24.77, 25.06
"
1618788093.1524026,,"182623988, -0.03, -0.03, 24.74, 25.06
"
1618788093.1624389,,"182627060, -0.05, 0.02, 24.74, 25.06
"
1618788093.1624389,,"182630124, -0.02, -0.02, 24.74, 25.06
"
1618788093.1624389,,"182633196, -0.03, -0.02, 24.74, 25.06
"
1618788093.1624389,,"182636268, -0.03, 0.00, 24.74, 25.06
"
